era_index,era_key,display_name,start_year,economic_regime,is_default_entry,v1_in_scope,knowledge_to_advance,capital_to_advance
1,neolithic,Neolithic,-10000,subsistence,0,1,153,0
2,bronze_age,Bronze Age,-3300,barter,0,1,2802,0
3,iron_age,Iron Age,-1200,coinage,0,1,6249,0
4,classical,Classical,-550,money,0,1,47825,0
5,medieval,Medieval,500,feudal,0,1,224042,0
6,early_modern,Early Modern,1450,mercantile,0,1,440004,0
7,industrial,Industrial,1750,industrial,0,1,695040,0
8,turn_of_millennium,Turn of the Millennium,2000,modern,1,1,0,0
9,disruption,Disruption,2007,modern,0,1,0,0
10,acceleration,Acceleration,2013,modern,0,1,0,0
11,fracture,Fracture,2019,modern,0,1,0,0
12,transition,Transition,2024,modern,0,1,0,0
13,convergence,Convergence,2035,near_future,0,0,0,0
14,reckoning,Reckoning,2050,near_future,0,0,0,0
15,synthesis,Synthesis,2075,near_future,0,0,0,0
16,expansion,Expansion,2100,space_age,0,0,0,0
17,divergence,Divergence,2150,space_age,0,0,0,0
